Game,n_splits,n_countries,n_events,rule_name,distance,distance_std
2014 Winter,20,89,98,Three Approval,0.043,0.016
2014 Winter,20,89,98,Plurality,0.051,0.018
2014 Winter,20,89,98,Plurality Veto,0.051,0.018
2014 Winter,20,89,98,Veto,0.065,0.022
2016 Summer,20,207,306,Borda,0.053,0.007
2016 Summer,20,207,306,Single Profile Annealing,0.053,0.007
2016 Summer,20,207,306,All Medals,0.058,0.008
2016 Summer,20,207,306,Gold Medals,0.059,0.008
2016 Summer,20,207,306,Three Approval,0.062,0.008
2016 Summer,20,207,306,Plurality,0.074,0.01
2016 Summer,20,207,306,Plurality Veto,0.074,0.01
2016 Summer,20,207,306,Veto,0.085,0.011
