n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,10,20,URN-R,Homogeneity,500,144,"Counter({'Borda': 195, 'Dowdall': 113, 'Plurality Veto': 35, 'Anti-Plurality': 8, 'Plurality': 5})"
16,10,20,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 246, 'Dowdall': 154, 'Plurality Veto': 61, 'Anti-Plurality': 24, 'Plurality': 15})"
16,10,20,URN-R,Monotonicity,500,8,"Counter({'Borda': 243, 'Dowdall': 156, 'Plurality Veto': 59, 'Anti-Plurality': 23, 'Plurality': 11})"
16,10,20,URN-R,Strong Consistency,239,40,"Counter({'Borda': 145, 'Dowdall': 44, 'Plurality Veto': 9, 'Anti-Plurality': 1})"
16,10,20,URN-R,Weak Consistency,55,3,"Counter({'Borda': 47, 'Dowdall': 4, 'Plurality Veto': 1})"
16,10,20,plackett_luce,Homogeneity,500,99,"Counter({'Borda': 389, 'Dowdall': 12})"
16,10,20,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 488, 'Dowdall': 11, 'Plurality Veto': 1})"
16,10,20,plackett_luce,Monotonicity,500,12,"Counter({'Borda': 476, 'Dowdall': 12})"
16,10,20,plackett_luce,Strong Consistency,403,8,"Counter({'Borda': 393, 'Dowdall': 2})"
16,10,20,plackett_luce,Weak Consistency,2,0,Counter({'Borda': 2})
16,10,20,single_peaked_conitzer,Homogeneity,500,101,"Counter({'Borda': 354, 'Plurality Veto': 44, 'Dowdall': 1})"
16,10,20,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 379, 'Anti-Plurality': 62, 'Plurality Veto': 58, 'Dowdall': 1})"
16,10,20,single_peaked_conitzer,Monotonicity,500,45,"Counter({'Borda': 344, 'Anti-Plurality': 69, 'Plurality Veto': 41, 'Dowdall': 1})"
16,10,20,single_peaked_conitzer,Strong Consistency,235,36,"Counter({'Borda': 185, 'Anti-Plurality': 10, 'Plurality Veto': 4})"
